manufacturer_id,manufacturer_name
436,Primus Remedies Pvt Ltd
437,Alive Healthcare
438,Astellas Pharma Inc
439,Omenta Pharma Pvt Ltd
440,Hamax Pharmaceuticals
441,Excare Laboratories
442,Divine Lifecare Pvt Ltd
443,Avrohn Pharma I Limited
444,Curelab Healthcare
445,Medichem Pharmceuticals Ltd
446,PlasmaGen Biosciences Pvt Ltd
447,Yash Pharma Laboratories Pvt Ltd
448,AGM Biotec
449,Kopran Ltd
450,Ozone Pharmaceuticals Ltd
451,Synthiko Formulations & Pharma Pvt Ltd
452,Sumac Pharma Pvt Ltd
453,Chethana Pharmaceuticals
454,Alna Biotech Pvt Ltd
455,Vibcare Pharma Pvt Ltd
456,Oxford Pharmaceuticals Pvt Ltd
457,Nukind Healthcare Pvt Ltd
458,Mucos Pharma India Pvt Ltd
459,Depsons Pharma
460,Ciron Drugs & Pharmaceuticals Pvt Ltd
461,Dew Drops Lab
462,Votary Laboratories I Ltd
463,Finecure Pharmaceuticals Ltd.
464,Lezaa Biotech
465,Daksh Pharma Pvt Ltd
466,Adalia Pharmaceuticals LLP
467,Aromed Pharmaceuticals
468,Plenteous Pharmaceuticals Ltd
469,Biophar Lifesciences Pvt Ltd
470,Prevego Healthcare & Research Private Limited
471,Angel Laboratories Pvt Ltd
472,Avron Pharma Pvt Ltd
473,Megha Healthcare Pvt Ltd
474,Lexus Organics
475,Cure Tech Skincare
476,Premier Nutraceuticals Pvt Ltd
477,Healthkind Labs Pvt Ltd
478,Alde Medi Impex Ltd
479,Rene Lifescience
480,Ardent Life Sciences Pvt Ltd
481,Pharmatech Healthcare
482,Astra Labs
483,Orris Pharmaceuticals
484,Cascade India Pharmaceuticals
485,Nilrise Pharmaceuticals Pvt Ltd
486,Neuron Pharma Pvt Ltd
487,Altavista Life Sciences Pvt Ltd
488,Concept Pharmaceuticals Ltd
489,Ambit Bio Medix
490,Pinarc Life Sciences
491,Life Medicare & Biotech Pvt Ltd
492,Aver Pharmaceuticals Pvt Ltd
493,Wings Biotech Ltd
494,Syndicate Life Sciences Pvt Ltd
495,Aspire Remedies
496,Innovexia Life Sciences Pvt Ltd
497,Cadomed Pharmaceuticals Pvt Ltd
498,MDC Pharmaceuticals Pvt Ltd
499,Alisier Drugs Pvt Ltd
500,Kom-med Labrotories Pvt Ltd
501,Flora & Pharma
502,Syncom Formulations I Limited
503,Alencure Biotech Pvt Ltd
504,Oneiro Pharmaceuticals
505,Arvincare Pharma
506,Rapross Pharmaceuticals Pvt Ltd
507,Theta Lab Pvt Ltd
508,Integrace Pvt Ltd
509,Paras Impex
510,Solvis Pharmaceuticals
511,RR Life Sciences Pvt Ltd
512,Ethics Health Care Pvt Ltd
513,Laxian Healthcare
514,Libra Drugs India
515,Boots Lifesciences Ltd
516,Remantra Pharma
517,Solway Pharmaceuticals Pvt Ltd
518,Gary Pharmaceuticals Pvt Ltd
519,Concord Drugs Ltd
520,Bios Lab
521,Pristine Formulations
522,Dermawin Pharmaceuticals
523,Winmac Laboratories Ltd
524,Lifecare Neuro Products Ltd
525,Auspharma Private Limited
526,Parry Pharma Pvt Ltd
527,Chemo Biological
528,Radicura Pharma pvt ltd ltd
529,Serwina Pharmaceuticals Private Limited
530,Century Life Science
531,Kaizen Pharmaceuticals Pvt Ltd
532,Citizen Remedies Private Limited
533,Kenn Pharmaceuticals Pvt Ltd
534,Izng Pharmaceuticals
535,AAA Pharma Trade Pvt Ltd
536,Abia Pharmaceuticals Pvt. Ltd.
537,Win-Medicare Pvt Ltd
538,Gamete Pharma Pvt Ltd
539,Vrinda Life
540,Insight Eyecare Pvt Ltd.
541,Avyukt Pharmaceuticals
542,Pharmtak Ophtalmics India Pvt Ltd
543,Athens Labs Ltd
544,Fitwel Pharmaceuticals Private Limited
545,Cubit Healthcare
546,Ventus Pharmaceuticals Pvt Ltd
547,Pharma Fabrikon
548,Lifeon Paediatrics Ltd
549,Medmex Health Care
550,Nidus Pharma Pvt Ltd
551,Matteo Healthcare Pvt Ltd
552,Drukst Biotech Private Limited
553,Zenon Healthcare Ltd
554,Shilar Pharmaceuticals
555,Griffin Biogenesis Pvt Ltd
556,Hauz Pharma Pvt Ltd
557,Psycormedies
558,Hi Tech Pharmaceuticals Pvt Ltd
559,Makers Laboratories Ltd
560,Madbris Life Sciences Pvt Ltd
561,Dolvis Bio Pharma Pvt Ltd
562,Univentis Medicare Ltd
563,Sois Formulations Pvt Ltd
564,Vinca Lifesciences
565,Mestra Pharma Pvt Ltd
566,Nava Healthcare Pvt Ltd
567,Aster Medipharm Pvt Ltd
568,Genetic Pharma
569,Canbro Healthcare
570,Amnicure Healthcare Pvt Ltd
571,Acme Pharmaceutical
572,Aculife Healthcare Private Limited
573,Quick Heal Life Sciences
574,Jarun Pharmaceuticals
575,Nuorik Healthcare
576,Axiommax Oncology Pvt Ltd
577,Medisync Pharma
578,Zota Health care Ltd
579,Demorbus India Pvt Ltd
580,Sapient Laboratories Pvt Ltd
581,Wilshire Pharmaceuticals Pvt Ltd
582,Biological E Ltd
583,Roussel Laboratories Pvt Ltd
584,Universal Micro Sciences
585,Urochem Biotech
586,Sunwin Healthcare
587,Captab Biotec
588,Sierra Pharmaceuticals Ltd
589,HiGlance Laboratories
590,Appasamy Ocular Device Pvt Ltd
591,Unistar Biotech Ltd
592,Galcare Pharmaceutical Pvt Ltd
593,Swiss Pharma Pvt Ltd
594,Clox Pharma Pvt Ltd
595,Lyra Laboratories Pvt Ltd
596,Oxpro Pharma Private Limited
597,Tycoon Pharmaceuticals Pvt Ltd
598,Meditouch Wellness
599,Vee Remedies
600,JV Healthcare
601,Blossom Pharmaceuticals Pvt Ltd
602,Acmedix Pharma LLP
603,Anthus Pharmaceuticals Pvt Ltd
604,Marc Laboratories Pvt Ltd
605,Wonder Healthcare
606,Indi Pharma
607,A N Pharmacia
608,HS Aldem Healthcare
609,Midas Healthcare Ltd
610,Gonan Pharma
611,Altius Life Sciences
612,Biologic Psychotropics India Pvt Ltd
613,Precise Biopharma Pvt Ltd
614,Minol Pharmaceuticals
615,Cnscure India Pvt Ltd
616,Cubic Lifesciences Private Limited
617,Nri Vision Care India Limited
618,Biorex Healthcare Pvt Ltd
619,Alobiote Healthcare
620,e-derma Pharma India Pvt. Ltd.
621,Diicor Healthcare
622,Hibiscus Pharmaceuticals
623,Medipol Pharmaceuticals India Pvt Ltd
624,Bill Cure Pharma Pvt Ltd
625,Santis Pharmaceuticals Private Limited
626,Jenfer Biosciences Pvt Ltd
627,Lypho Med Remedies Pvt Ltd
628,Altar Healthcare Pvt Ltd
629,Positive Medicare Pvt Ltd
630,Aeobury Healthcare Pvt Ltd
631,Brooks Pharmaceuticals
632,Apotek Pharma Private Limited
633,CHS Formulations
